priority,evicted_task_count,failed_task_count,killed_task_count,lost_task_count,submitted_task_count,scheduled_task_count,finished_task_count,update_pending_task_count,update_running_task_count
11,0,0,1927,0,9465,9408,0,0,0
10,503,21422,9383,1,32131,32128,0,0,141
9,16825,1309946,227918,102,1657471,1656760,49190,114,15185
8,2997,17184,138154,32,275297,274962,114106,12,66
7,0,0,796,0,796,796,0,0,400
6,422,53526,135559,42,690156,689599,499092,0,13
5,0,0,0,0,104,104,104,0,0
4,43566,643807,3361759,3294,15299112,15099442,11238276,1304,600178
3,153,1,62,0,1203,1203,987,0,0
2,47440,26294,164475,45,1231479,1200766,990365,0,790
1,461654,721333,923231,1172,3819300,3745699,1699238,1007,5395
0,5290793,11036256,5386416,4066,25358652,24640306,3626617,5851,20962
