priority,"first(cpu, false)","first(memory, false)",capacity,task_count
0,0.5,0.2493,0.37465,6479555
9,1.0,0.5,0.75,136
6,0.5,0.4995,0.49975,360044
6,0.5,0.06158,0.28079,19
9,0.25,0.2498,0.2499,9574
5,0.5,0.4995,0.49975,70
10,0.5,0.1241,0.31205,43
7,0.25,0.2498,0.2499,1
2,0.5,0.749,0.6245,120254
8,0.5,0.2493,0.37465,115117
11,0.5,0.2493,0.37465,3080
4,0.5,0.4995,0.49975,8548080
8,0.25,0.2498,0.2499,460
2,0.5,0.06158,0.28079,2
4,0.5,0.06158,0.28079,26
0,0.25,0.2498,0.2499,185660
11,0.5,0.749,0.6245,730
5,0.5,0.2493,0.37465,32
3,0.25,0.2498,0.2499,7
11,0.25,0.2498,0.2499,148
10,0.5,0.03085,0.265425,8
11,0.5,0.03085,0.265425,1
0,0.5,0.4995,0.49975,13828118
1,0.5,0.749,0.6245,366945
7,0.5,0.2493,0.37465,20
6,0.5,0.9678,0.7339,194
9,0.5,0.4995,0.49975,1115807
4,0.5,0.9678,0.7339,5169
0,0.5,0.06158,0.28079,130
3,0.5,0.4995,0.49975,680
1,0.5,0.1241,0.31205,6473
8,0.5,0.749,0.6245,6388
7,0.5,0.4995,0.49975,470
3,1.0,0.5,0.75,1
2,0.5,0.2493,0.37465,342613
0,1.0,1.0,1.0,1668213
1,1.0,0.5,0.75,1049
3,1.0,1.0,1.0,60
1,0.25,0.2498,0.2499,27346
10,0.5,0.4995,0.49975,17956
9,1.0,1.0,1.0,103166
4,1.0,0.5,0.75,5085
8,1.0,0.5,0.75,65
2,0.5,0.9678,0.7339,399
6,1.0,0.5,0.75,299
5,1.0,1.0,1.0,2
3,0.5,0.2493,0.37465,319
8,0.5,0.4995,0.49975,126349
10,0.5,0.2493,0.37465,9676
2,0.5,0.03085,0.265425,7
8,1.0,1.0,1.0,25212
3,0.5,0.749,0.6245,134
10,1.0,0.5,0.75,11
6,0.5,0.2493,0.37465,201564
2,1.0,0.5,0.75,377
9,0.5,0.749,0.6245,183287
2,0.5,0.4995,0.49975,602172
9,0.5,0.2493,0.37465,241602
8,0.5,0.06158,0.28079,8
6,0.25,0.2498,0.2499,4105
8,0.5,0.1241,0.31205,1328
4,0.5,0.1241,0.31205,31131
10,1.0,1.0,1.0,1100
3,0.5,0.9678,0.7339,1
4,0.5,0.2493,0.37465,4144830
11,0.5,0.4995,0.49975,5343
2,0.5,0.1241,0.31205,2124
4,0.25,0.2498,0.2499,90144
9,0.5,0.9678,0.7339,490
6,0.5,0.03085,0.265425,3
0,0.5,0.9678,0.7339,9957
1,0.5,0.4995,0.49975,2193276
11,1.0,1.0,1.0,72
7,0.5,0.749,0.6245,222
11,0.5,0.1241,0.31205,31
4,0.5,0.03085,0.265425,52
3,0.5,0.1241,0.31205,1
10,0.5,0.749,0.6245,3085
4,1.0,1.0,1.0,1100561
9,0.5,0.06158,0.28079,7
1,0.5,0.9678,0.7339,2392
1,0.5,0.06158,0.28079,59
1,1.0,1.0,1.0,241301
6,0.5,0.1241,0.31205,2016
0,1.0,0.5,0.75,7846
4,0.5,0.749,0.6245,1174364
1,0.5,0.03085,0.265425,88
0,0.5,0.749,0.6245,2411422
0,0.5,0.1241,0.31205,49156
8,0.5,0.03085,0.265425,23
9,0.5,0.03085,0.265425,30
6,1.0,1.0,1.0,61136
0,0.5,0.03085,0.265425,249
2,0.25,0.2498,0.2499,13816
6,0.5,0.749,0.6245,60219
7,1.0,1.0,1.0,82
10,0.5,0.06158,0.28079,10
10,0.25,0.2498,0.2499,237
10,0.5,0.9678,0.7339,2
9,0.5,0.1241,0.31205,2661
2,1.0,1.0,1.0,119002
7,0.5,0.9678,0.7339,1
8,0.5,0.9678,0.7339,12
1,0.5,0.2493,0.37465,906770
